,meteo_temp_max,meteo_temp_min,meteo_temp_mean,meteo_temp_max-min,meteo_pressure_max,meteo_pressure_min,meteo_pressure_mean,meteo_pressure_max-min,meteo_relhum_max,meteo_relhum_min,meteo_relhum_mean,meteo_relhum_max-min,meteo_wind_speed,meteo_precipitation,prtcl_elem_carbon_inPM10,prtcl_org_carbon_inPM10,prtcl_tot_carbon_inPM10,prtcl_sec_org_carbon_inOC,prtcl_elem_carbon_unit,prtcl_org_carbon_unit,prtcl_org_by_elem_carbon,prtcl_pm10_unit,prtcl_sec_carbon_unit,prtcl_tot_carbon_unit,no2,weekdays,weeknum,months,year,season,meteo_wind_direction_numerical
03-01-11,-1.4,-8.4,-3.4,7,1009,1006.2,1007.5,2.8,99,89,95,10,0.6,0,2.745761717,24.4021216,27.1478829,80.32595979,1.406347147,12.49848225,8.887195654,51.21883439,10.03952583,13.90482918,64.99112807,0,2,1,2011,0,337.5
04-01-11,-1.5,-7.1,-2.8,5.6,1008.6,1007.7,1008.1,0.9,90,69,81,21,0.770175004,0,3.359034988,22.62962561,25.98865686,74.04652863,1.287807668,8.675886228,6.736942512,38.33862026,6.42419258,9.963692465,68.85817276,1,2,1,2011,0,90
05-01-11,-1.7,-3.6,-2.5,1.9,1006.9,1006.3,1006.6,0.6,87,76,83,11,0.720111434,0,2.193138783,29.91975755,32.1128948,87.18359151,1.465460784,19.99245633,13.64243694,66.82024845,17.43014146,21.45791609,74.08799425,2,2,1,2011,0,135
06-01-11,4.3,-4.6,0.9,8.9,1004.8,1002.3,1003.3,2.5,89,68,81,21,0.724288611,0,3.94369721,27.83162394,31.77532038,74.25440683,1.589557892,13.86990927,9.081697449,48.45734997,11.09061427,15.45946665,74.08799425,3,2,1,2011,0,180
07-01-11,13.6,2.6,10.9,11,1005.6,1003.9,1004.8,1.7,77,65,72,12,2.457353252,0,5.694255637,25.74349032,31.43774596,61.32522214,1.713655,7.747362205,4.520957955,30.09445148,4.751087082,9.461017205,33.664552,4,2,1,2011,0,202.5
10-01-11,11.9,3.9,7.4,8,1004.8,1004.5,1004.7,0.3,94,80,87,14,0.885590705,1.8,4.417998527,29.0686546,33.48665703,73.42587759,2.563167052,16.864609,6.579598073,58.01647593,12.38298716,19.42777832,73.34274328,0,3,1,2011,0,22.5
11-01-11,6.5,3.2,4,3.3,1002,998.2,999.7,3.8,98,97,97,1,1.133333333,2,3.185078831,28.50521612,31.6902939,80.46316793,1.779766907,15.92822126,8.949610867,55.8782687,12.81635142,17.70798758,32.27046779,1,3,1,2011,0,45
12-01-11,7.5,0.5,3,7,1007.1,1001.7,1004.5,5.4,97,80,91,17,0.490085923,0,5.932356628,29.5684591,35.50081573,64.92022055,2.236503556,11.14733454,4.98426864,37.7000861,7.236874169,13.3838381,48.98292894,2,3,1,2011,0,315
13-01-11,10.5,0.4,6.7,10.1,1002.4,998.7,1000.6,3.7,97,68,86,29,0.86442559,0,5.086017992,36.06498107,41.1510142,75.34241837,3.78222069,26.81974736,7.091005406,74.36506705,20.20664626,30.6019793,67.67639947,3,3,1,2011,0,202.5
14-01-11,13.1,3,6.4,10.1,1002.5,1001.9,1002.2,0.6,97,59,83,38,0.052220448,0,2.422772736,38.92250784,41.34528143,89.11646047,1.969528357,31.6410127,16.065274,81.29232791,28.19735058,33.61054175,67.68552726,4,3,1,2011,0,67.5
17-01-11,10.5,-1.6,3.6,12.1,1011.7,1008.8,1010.2,2.9,100,71,87,29,0.347154433,0,4.921069597,32.80613641,37.72718783,73.77214846,4.237284949,28.24771024,6.666464629,86.1049588,20.83894273,32.48497953,62.52785778,0,4,1,2011,0,90
18-01-11,5.1,-1.6,0.6,6.7,1010.4,1009.7,1010.1,0.7,98,88,94,10,0.424288611,0,2.142681095,36.29687729,38.43956266,89.67841079,3.142964733,53.24161654,16.93993445,146.6837384,47.74623559,56.38458754,58.61986667,1,4,1,2011,0,135
19-01-11,3.6,-2.4,1.8,6,1008.3,1006.2,1006.9,2.1,98,95,97,3,0.342589428,8.2,4.657300886,33.0288061,37.68610701,75.3453003,3.552574753,25.19427143,7.091834285,76.2796916,18.98269947,28.7468462,56.65993191,2,4,1,2011,0,90
20-01-11,4.5,2,3.4,2.5,1007,1005.6,1006.3,1.4,66,56,60,10,2.259193396,0,6.415555578,21.79656036,28.21211122,48.53587384,1.132926204,3.849065617,3.397454842,17.65905057,1.868177632,4.981990988,46.84276897,3,4,1,2011,0,22.5
